"ref","date","infected","spineBroken"
"k-m+_c1_6.4","2022-12-12","FALSE","FALSE"
"k-m+_c1_6.4","2022-12-19","FALSE","FALSE"
"k-m+_m37_1.2","2022-11-03","FALSE","FALSE"
"k-m+_m37_1.2","2022-11-09","FALSE","FALSE"
"k-m+_m37_1.3","2022-11-03","FALSE","TRUE"
"k-m+_m37_1.3","2022-11-09","FALSE","TRUE"
"k-m+_m37_2.1","2022-11-07","FALSE","FALSE"
"k-m+_m37_2.3","2022-11-07","FALSE","FALSE"
"k-m+_m37_2.4","2022-11-07","FALSE","FALSE"
"k-m+_m37_2.5","2022-11-07","FALSE","FALSE"
"k-m+_m37_2.6","2022-11-07","FALSE","TRUE"
"k-m+_m37_2.7","2022-11-07","FALSE","FALSE"
"k-m+_m37_2.8","2022-11-07","FALSE","FALSE"
"k-m+_m37_5.1","2022-12-11","FALSE","FALSE"
"k-m+_m37_5.1","2022-12-18","FALSE","FALSE"
"k-m+_m37_5.2","2022-12-11","FALSE","FALSE"
"k-m+_m37_5.2","2022-12-18","FALSE","FALSE"
"k-m+_m37_5.3","2022-12-11","FALSE","FALSE"
"k-m+_m37_5.3","2022-12-18","FALSE","FALSE"
"k-m+_m37_5.4","2022-12-11","FALSE","FALSE"
"k-m+_m37_5.4","2022-12-18","FALSE","FALSE"
"k-m+_m37_6.1","2022-12-12","FALSE","FALSE"
"k-m+_m37_6.1","2022-12-19","FALSE","FALSE"
"k-m+_m37_6.2","2022-12-12","FALSE","FALSE"
"k-m+_m37_6.2","2022-12-19","FALSE","FALSE"
"k-m+_w2_1.1","2022-11-03","FALSE","FALSE"
"k-m+_w2_1.1","2022-11-09","FALSE","FALSE"
"k-m+_w2_1.2","2022-11-03","FALSE","FALSE"
"k-m+_w2_1.2","2022-11-09","FALSE","FALSE"
"k-m+_w2_1.3","2022-11-03","FALSE","FALSE"
"k-m+_w2_1.3","2022-11-09","FALSE","FALSE"
"k-m+_w2_1.4","2022-11-03","FALSE","FALSE"
"k-m+_w2_1.4","2022-11-09","FALSE","FALSE"
"k-m+_w2_1.5","2022-11-03","FALSE","FALSE"
"k-m+_w2_1.5","2022-11-09","FALSE","FALSE"
"k-m+_w2_2.1","2022-11-07","FALSE","FALSE"
"k-m+_w2_2.2","2022-11-07","FALSE","TRUE"
"k-m+_w2_2.3","2022-11-07","FALSE","FALSE"
"k-m+_w2_4.1","2022-12-06","FALSE","FALSE"
"k-m+_w2_4.1","2022-12-13","FALSE","TRUE"
"k-m+_w2_4.2","2022-12-06","FALSE","FALSE"
"k-m+_w2_4.2","2022-12-13","FALSE","FALSE"
"k-m+_w2_4.3","2022-12-06","FALSE","FALSE"
"k-m+_w2_4.3","2022-12-13","FALSE","FALSE"
"k-m+_w2_5.1","2022-12-11","FALSE","FALSE"
"k-m+_w2_5.1","2022-12-18","FALSE","TRUE"
"k-m+_w2_6.1","2022-12-12","FALSE","TRUE"
"k-m+_w2_6.1","2022-12-19","FALSE","TRUE"
"k+m-_c1_1.10","2022-11-03","FALSE","FALSE"
"k+m-_c1_1.10","2022-11-09","FALSE","FALSE"
"k+m-_c1_1.12","2022-11-03","FALSE","FALSE"
"k+m-_c1_1.13","2022-11-03","FALSE","FALSE"
"k+m-_c1_1.13","2022-11-09","FALSE","FALSE"
"k+m-_c1_1.2","2022-11-03","FALSE","FALSE"
"k+m-_c1_1.3","2022-11-03","FALSE","FALSE"
"k+m-_c1_1.3","2022-11-09","FALSE","FALSE"
"k+m-_c1_1.4","2022-11-03","FALSE","FALSE"
"k+m-_c1_1.5","2022-11-03","FALSE","FALSE"
"k+m-_c1_1.5","2022-11-09","FALSE","FALSE"
"k+m-_c1_1.6","2022-11-03","FALSE","FALSE"
"k+m-_c1_1.6","2022-11-09","FALSE","TRUE"
"k+m-_c1_2.3","2022-11-07","FALSE","FALSE"
"k+m-_c1_2.5","2022-11-07","FALSE","TRUE"
"k+m-_c1_2.6","2022-11-07","FALSE","TRUE"
"k+m-_c1_2.7","2022-11-07","FALSE","TRUE"
"k+m-_c1_2.8","2022-11-07","FALSE","FALSE"
"k+m-_c1_4.1","2022-12-06","FALSE","FALSE"
"k+m-_c1_4.1","2022-12-13","FALSE","FALSE"
"k+m-_c1_4.5","2022-12-06","FALSE","FALSE"
"k+m-_c1_4.6","2022-12-06","FALSE","TRUE"
"k+m-_c1_5.1","2022-12-11","FALSE","FALSE"
"k+m-_c1_5.1","2022-12-18","FALSE","FALSE"
"k+m-_c1_5.3","2022-12-11","FALSE","TRUE"
"k+m-_c1_6.2","2022-12-12","FALSE","FALSE"
"k+m-_c1_6.2","2022-12-19","FALSE","FALSE"
"k+m-_c1_6.3","2022-12-12","FALSE","TRUE"
"k+m-_c1_6.3","2022-12-19","FALSE","TRUE"
"k+m-_c1_6.5","2022-12-12","FALSE","FALSE"
"k+m-_c1_6.5","2022-12-19","FALSE","FALSE"
"k+m-_m37_1.1","2022-11-03","FALSE","FALSE"
"k+m-_m37_1.1","2022-11-09","FALSE","FALSE"
"k+m-_m37_1.2","2022-11-03","FALSE","FALSE"
"k+m-_m37_1.2","2022-11-09","FALSE","FALSE"
"k+m-_m37_1.3","2022-11-03","FALSE","FALSE"
"k+m-_m37_1.3","2022-11-09","FALSE","FALSE"
"k+m-_m37_2.1","2022-11-07","FALSE","FALSE"
"k+m-_m37_2.2","2022-11-07","FALSE","TRUE"
"k+m-_m37_2.3","2022-11-07","FALSE","TRUE"
"k+m-_m37_2.4","2022-11-07","FALSE","FALSE"
"k+m-_m37_2.5","2022-11-07","FALSE","FALSE"
"k+m-_m37_2.7","2022-11-07","FALSE","FALSE"
"k+m-_m37_2.8","2022-11-07","FALSE","FALSE"
"k+m-_m37_2.9","2022-11-07","FALSE","FALSE"
"k+m-_m37_5.2","2022-12-11","FALSE","TRUE"
"k+m-_m37_5.2","2022-12-18","FALSE","TRUE"
"k+m-_m37_5.3","2022-12-11","FALSE","FALSE"
"k+m-_m37_5.3","2022-12-18","FALSE","FALSE"
"k+m-_m37_6.1","2022-12-12","FALSE","FALSE"
"k+m-_m37_6.1","2022-12-19","FALSE","FALSE"
"k+m-_m37_6.2","2022-12-12","FALSE","TRUE"
"k+m-_m37_6.2","2022-12-19","FALSE","TRUE"
"k+m-_w2_1.1","2022-11-03","FALSE","FALSE"
"k+m-_w2_1.1","2022-11-09","FALSE","FALSE"
"k+m-_w2_1.2","2022-11-03","FALSE","FALSE"
"k+m-_w2_1.3","2022-11-03","FALSE","FALSE"
"k+m-_w2_1.3","2022-11-09","FALSE","TRUE"
"k+m-_w2_1.4","2022-11-03","FALSE","FALSE"
"k+m-_w2_1.4","2022-11-09","FALSE","FALSE"
"k+m-_w2_1.5","2022-11-03","FALSE","FALSE"
"k+m-_w2_1.5","2022-11-09","FALSE","FALSE"
"k+m-_w2_2.1","2022-11-07","FALSE","FALSE"
"k+m-_w2_2.2","2022-11-07","FALSE","TRUE"
"k+m-_w2_2.3","2022-11-07","FALSE","FALSE"
"k+m-_w2_4.1","2022-12-06","FALSE","TRUE"
"k+m-_w2_4.1","2022-12-13","FALSE","FALSE"
"k+m-_w2_4.3","2022-12-06","FALSE","FALSE"
"k+m-_w2_4.3","2022-12-13","FALSE","TRUE"
"k+m-_w2_5.1","2022-12-11","FALSE","FALSE"
"k+m-_w2_5.1","2022-12-18","FALSE","TRUE"
"k+m-_w2_6.1","2022-12-12","FALSE","TRUE"
"k+m-_w2_6.1","2022-12-19","FALSE","TRUE"
"k+m+_c1_1.1","2022-11-03","FALSE","TRUE"
"k+m+_c1_1.1","2022-11-09","FALSE","TRUE"
"k+m+_c1_1.10","2022-11-03","FALSE","FALSE"
"k+m+_c1_1.10","2022-11-09","FALSE","FALSE"
"k+m+_c1_1.12","2022-11-03","FALSE","FALSE"
"k+m+_c1_1.12","2022-11-09","FALSE","FALSE"
"k+m+_c1_1.2","2022-11-03","FALSE","FALSE"
"k+m+_c1_1.4","2022-11-09","FALSE","FALSE"
"k+m+_c1_1.5","2022-11-03","FALSE","FALSE"
"k+m+_c1_1.5","2022-11-09","FALSE","FALSE"
"k+m+_c1_1.7","2022-11-03","FALSE","FALSE"
"k+m+_c1_1.7","2022-11-09","FALSE","FALSE"
"k+m+_c1_2.10","2022-11-07","FALSE","FALSE"
"k+m+_c1_2.2","2022-11-09","FALSE","FALSE"
"k+m+_c1_2.3","2022-11-07","FALSE","FALSE"
"k+m+_c1_2.4","2022-11-07","FALSE","FALSE"
"k+m+_c1_2.5","2022-11-07","FALSE","FALSE"
"k+m+_c1_2.9","2022-11-07","FALSE","FALSE"
"k+m+_c1_4.1","2022-12-06","FALSE","FALSE"
"k+m+_c1_4.1","2022-12-13","FALSE","FALSE"
"k+m+_c1_4.4","2022-12-06","FALSE","FALSE"
"k+m+_c1_4.6","2022-12-06","FALSE","FALSE"
"k+m+_c1_4.6","2022-12-13","FALSE","FALSE"
"k+m+_c1_5.1","2022-12-11","FALSE","FALSE"
"k+m+_c1_5.1","2022-12-18","FALSE","FALSE"
"k+m+_c1_6.2","2022-12-12","FALSE","FALSE"
"k+m+_c1_6.2","2022-12-19","FALSE","FALSE"
"k+m+_m37_1.1","2022-11-03","FALSE","FALSE"
"k+m+_m37_1.1","2022-11-09","FALSE","FALSE"
"k+m+_m37_1.2","2022-11-03","FALSE","FALSE"
"k+m+_m37_1.2","2022-11-09","FALSE","FALSE"
"k+m+_m37_2.1","2022-11-07","FALSE","FALSE"
"k+m+_m37_2.2","2022-11-07","FALSE","FALSE"
"k+m+_m37_2.3","2022-11-07","FALSE","FALSE"
"k+m+_m37_2.5","2022-11-07","FALSE","FALSE"
"k+m+_m37_2.6","2022-11-07","FALSE","FALSE"
"k+m+_m37_2.7","2022-11-07","FALSE","FALSE"
"k+m+_m37_2.9","2022-11-07","FALSE","FALSE"
"k+m+_m37_5.1","2022-12-11","FALSE","FALSE"
"k+m+_m37_5.1","2022-12-18","FALSE","FALSE"
"k+m+_m37_5.2","2022-12-11","FALSE","FALSE"
"k+m+_m37_5.2","2022-12-18","FALSE","FALSE"
"k+m+_m37_5.3","2022-12-11","FALSE","FALSE"
"k+m+_m37_5.4","2022-12-11","FALSE","FALSE"
"k+m+_m37_6.2","2022-12-12","FALSE","FALSE"
"k+m+_m37_6.2","2022-12-19","FALSE","FALSE"
"k+m+_w2_1.1","2022-11-03","FALSE","FALSE"
"k+m+_w2_1.1","2022-11-09","FALSE","FALSE"
"k+m+_w2_1.3","2022-11-03","FALSE","TRUE"
"k+m+_w2_1.3","2022-11-09","FALSE","FALSE"
"k+m+_w2_1.4","2022-11-09","FALSE","FALSE"
"k+m+_w2_1.5","2022-11-03","FALSE","FALSE"
"k+m+_w2_1.5","2022-11-09","FALSE","TRUE"
"k+m+_w2_2.2","2022-11-07","FALSE","FALSE"
"k+m+_w2_4.1","2022-12-06","FALSE","FALSE"
"k+m+_w2_4.1","2022-12-13","FALSE","FALSE"
"k+m+_w2_4.2","2022-12-06","FALSE","FALSE"
"k+m+_w2_4.2","2022-12-13","FALSE","TRUE"
"k+m+_w2_4.3","2022-12-06","FALSE","TRUE"
"k+m+_w2_5.1","2022-12-11","FALSE","FALSE"
"k+m+_w2_5.1","2022-12-18","FALSE","FALSE"
"k+m+_w2_6.1","2022-12-12","FALSE","FALSE"
"k+m+_w2_6.1","2022-12-19","FALSE","FALSE"
